n,method,trial,time_ns
100,bruteforce,1,228833
100,improved,1,410667
100,hash,1,219458
100,bruteforce,2,54500
100,improved,2,25209
100,hash,2,24125
100,bruteforce,3,52958
100,improved,3,18000
100,hash,3,23792
100,bruteforce,4,52667
100,improved,4,25375
100,hash,4,31292
100,bruteforce,5,51958
100,improved,5,19250
100,hash,5,27750
100,bruteforce,6,53375
100,improved,6,18708
100,hash,6,24625
100,bruteforce,7,50541
100,improved,7,18458
100,hash,7,23292
200,bruteforce,1,88125
200,improved,1,25916
200,hash,1,33291
200,bruteforce,2,55834
200,improved,2,24333
200,hash,2,34167
200,bruteforce,3,52833
200,improved,3,23459
200,hash,3,32000
200,bruteforce,4,45500
200,improved,4,21750
200,hash,4,32042
200,bruteforce,5,45417
200,improved,5,23375
200,hash,5,31209
200,bruteforce,6,45125
200,improved,6,25416
200,hash,6,40125
200,bruteforce,7,46000
200,improved,7,106625
200,hash,7,81916
400,bruteforce,1,155333
400,improved,1,41084
400,hash,1,53208
400,bruteforce,2,159958
400,improved,2,94166
400,hash,2,93959
400,bruteforce,3,162666
400,improved,3,43458
400,hash,3,53584
400,bruteforce,4,157584
400,improved,4,36750
400,hash,4,52167
400,bruteforce,5,160417
400,improved,5,107458
400,hash,5,97625
400,bruteforce,6,117084
400,improved,6,42916
400,hash,6,54125
400,bruteforce,7,49542
400,improved,7,93875
400,hash,7,120500
800,bruteforce,1,91125
800,improved,1,70959
800,hash,1,93125
800,bruteforce,2,84459
800,improved,2,71541
800,hash,2,93875
800,bruteforce,3,88833
800,improved,3,68125
800,hash,3,91667
800,bruteforce,4,83667
800,improved,4,67334
800,hash,4,89750
800,bruteforce,5,83459
800,improved,5,65625
800,hash,5,87625
800,bruteforce,6,80500
800,improved,6,65958
800,hash,6,90041
800,bruteforce,7,80666
800,improved,7,84208
800,hash,7,88083
1600,bruteforce,1,231750
1600,improved,1,105667
1600,hash,1,179875
1600,bruteforce,2,227708
1600,improved,2,106166
1600,hash,2,181833
1600,bruteforce,3,252166
1600,improved,3,99542
1600,hash,3,175209
1600,bruteforce,4,230000
1600,improved,4,96625
1600,hash,4,177084
1600,bruteforce,5,226875
1600,improved,5,94125
1600,hash,5,164416
1600,bruteforce,6,226375
1600,improved,6,94834
1600,hash,6,162041
1600,bruteforce,7,225917
1600,improved,7,97542
1600,hash,7,159792
3200,bruteforce,1,3614875
3200,improved,1,210166
3200,hash,1,450458
3200,bruteforce,2,10613042
3200,improved,2,254583
3200,hash,2,437791
3200,bruteforce,3,7147833
3200,improved,3,228708
3200,hash,3,306584
3200,bruteforce,4,2792708
3200,improved,4,226417
3200,hash,4,293792
3200,bruteforce,5,1605750
3200,improved,5,220084
3200,hash,5,296959
3200,bruteforce,6,1572417
3200,improved,6,197458
3200,hash,6,288833
3200,bruteforce,7,1563833
3200,improved,7,206875
3200,hash,7,271917
