size,time_ms,swap_count,inversion_count,ran,sorted,note
50,0.035,-1,610,true,true,
100,0.076,-1,2881,true,true,
200,0.182,-1,9540,true,true,
300,0.224,-1,21412,true,true,
400,0.479,-1,38965,true,true,
500,0.497,-1,62653,true,true,
750,0.859,-1,140961,true,true,
1000,1.935,-1,250133,true,true,
1500,3.656,-1,569794,true,true,
2000,6.794,-1,1018669,true,true,
2500,10.892,-1,1535486,true,true,
3000,15.537,-1,2293023,true,true,
3500,21.399,-1,3101542,true,true,
4000,28.250,-1,3946594,true,true,
4500,35.953,-1,5045849,true,true,
5000,45.347,-1,6285692,true,true,
