size,time_ms,swap_or_move_count,inversion_count,ran,sorted,note
50,0.020,-1,610,true,true,
100,0.025,-1,2881,true,true,
200,0.046,-1,9540,true,true,
300,0.027,-1,21412,true,true,
400,0.034,-1,38965,true,true,
500,0.045,-1,62653,true,true,
750,0.074,-1,140961,true,true,
1000,0.101,-1,250133,true,true,
1500,0.149,-1,569794,true,true,
2000,0.194,-1,1018669,true,true,
2500,0.261,-1,1535486,true,true,
3000,0.317,-1,2293023,true,true,
3500,0.374,-1,3101542,true,true,
4000,0.433,-1,3946594,true,true,
4500,0.516,-1,5045849,true,true,
5000,0.483,-1,6285692,true,true,
